Set,Benchmark,Result
hybrid,00-factorial-asm-minimal,6.71
hybrid,01-factorial-asm-indirect,6.92
hybrid,10-random-graph-walk-l1,3.38
hybrid,11-random-graph-walk-fixed,4.05
hybrid,20-so-call,1.59
hybrid,21-global,9.25
hybrid,22-global-other-so,9.25
hybrid,30-ptr-add-asm,3.41
hybrid,31-ptr-add-align,3.35
hybrid,99-busy-loop,1.68
purecap,00-factorial-asm-minimal,7.29
purecap,01-factorial-asm-indirect,7.56
purecap,10-random-graph-walk-l1,3.38
purecap,11-random-graph-walk-fixed,4.01
purecap,20-so-call,3.02
purecap,21-global,9.24
purecap,22-global-other-so,9.25
purecap,30-ptr-add-asm,3.36
purecap,31-ptr-add-align,6.70
purecap,99-busy-loop,1.68
hybrid,00-factorial-asm-minimal,6.72
hybrid,01-factorial-asm-indirect,6.93
hybrid,10-random-graph-walk-l1,3.38
hybrid,11-random-graph-walk-fixed,4.04
hybrid,20-so-call,1.59
hybrid,21-global,9.25
hybrid,22-global-other-so,9.25
hybrid,30-ptr-add-asm,3.47
hybrid,31-ptr-add-align,3.36
hybrid,99-busy-loop,1.68
purecap,00-factorial-asm-minimal,6.96
purecap,01-factorial-asm-indirect,7.56
purecap,10-random-graph-walk-l1,3.38
purecap,11-random-graph-walk-fixed,3.97
purecap,20-so-call,3.02
purecap,21-global,9.25
purecap,22-global-other-so,9.25
purecap,30-ptr-add-asm,3.36
purecap,31-ptr-add-align,6.72
purecap,99-busy-loop,1.68
hybrid,00-factorial-asm-minimal,6.72
hybrid,01-factorial-asm-indirect,6.93
hybrid,10-random-graph-walk-l1,3.38
hybrid,11-random-graph-walk-fixed,4.06
hybrid,20-so-call,1.59
hybrid,21-global,9.25
hybrid,22-global-other-so,9.25
hybrid,30-ptr-add-asm,3.46
hybrid,31-ptr-add-align,3.36
hybrid,99-busy-loop,1.68
purecap,00-factorial-asm-minimal,6.86
purecap,01-factorial-asm-indirect,7.56
purecap,10-random-graph-walk-l1,3.38
purecap,11-random-graph-walk-fixed,3.98
purecap,20-so-call,3.02
purecap,21-global,9.25
purecap,22-global-other-so,9.25
purecap,30-ptr-add-asm,3.47
purecap,31-ptr-add-align,6.72
purecap,99-busy-loop,1.68
hybrid,00-factorial-asm-minimal,6.71
hybrid,01-factorial-asm-indirect,6.93
hybrid,10-random-graph-walk-l1,3.38
hybrid,11-random-graph-walk-fixed,4.04
hybrid,20-so-call,1.59
hybrid,21-global,9.25
hybrid,22-global-other-so,9.25
hybrid,30-ptr-add-asm,3.39
hybrid,31-ptr-add-align,3.36
hybrid,99-busy-loop,1.68
purecap,00-factorial-asm-minimal,7.34
purecap,01-factorial-asm-indirect,7.55
purecap,10-random-graph-walk-l1,3.38
purecap,11-random-graph-walk-fixed,4.01
purecap,20-so-call,3.02
purecap,21-global,9.25
purecap,22-global-other-so,9.24
purecap,30-ptr-add-asm,3.43
purecap,31-ptr-add-align,6.72
purecap,99-busy-loop,1.67
hybrid,00-factorial-asm-minimal,6.72
hybrid,01-factorial-asm-indirect,6.93
hybrid,10-random-graph-walk-l1,3.38
hybrid,11-random-graph-walk-fixed,4.01
hybrid,20-so-call,1.59
hybrid,21-global,9.25
hybrid,22-global-other-so,9.25
hybrid,30-ptr-add-asm,3.45
hybrid,31-ptr-add-align,3.36
hybrid,99-busy-loop,1.67
purecap,00-factorial-asm-minimal,6.97
purecap,01-factorial-asm-indirect,7.56
purecap,10-random-graph-walk-l1,3.38
purecap,11-random-graph-walk-fixed,3.99
purecap,20-so-call,3.02
purecap,21-global,9.25
purecap,22-global-other-so,9.25
purecap,30-ptr-add-asm,3.37
purecap,31-ptr-add-align,6.72
purecap,99-busy-loop,1.67
hybrid,00-factorial-asm-minimal,6.72
hybrid,01-factorial-asm-indirect,6.93
hybrid,10-random-graph-walk-l1,3.38
hybrid,11-random-graph-walk-fixed,4.05
hybrid,20-so-call,1.59
hybrid,21-global,9.25
hybrid,22-global-other-so,9.25
hybrid,30-ptr-add-asm,3.45
hybrid,31-ptr-add-align,3.36
hybrid,99-busy-loop,1.68
purecap,00-factorial-asm-minimal,7.06
purecap,01-factorial-asm-indirect,7.56
purecap,10-random-graph-walk-l1,3.38
purecap,11-random-graph-walk-fixed,3.98
purecap,20-so-call,3.02
purecap,21-global,9.25
purecap,22-global-other-so,9.25
purecap,30-ptr-add-asm,3.36
purecap,31-ptr-add-align,6.72
purecap,99-busy-loop,1.68
hybrid,00-factorial-asm-minimal,6.72
hybrid,01-factorial-asm-indirect,6.93
hybrid,10-random-graph-walk-l1,3.38
hybrid,11-random-graph-walk-fixed,4.05
hybrid,20-so-call,1.59
hybrid,21-global,9.25
hybrid,22-global-other-so,9.25
hybrid,30-ptr-add-asm,3.36
hybrid,31-ptr-add-align,3.36
hybrid,99-busy-loop,1.68
purecap,00-factorial-asm-minimal,6.97
purecap,01-factorial-asm-indirect,7.56
purecap,10-random-graph-walk-l1,3.38
purecap,11-random-graph-walk-fixed,3.98
purecap,20-so-call,3.02
purecap,21-global,9.25
purecap,22-global-other-so,9.25
purecap,30-ptr-add-asm,3.36
purecap,31-ptr-add-align,6.72
purecap,99-busy-loop,1.67
hybrid,00-factorial-asm-minimal,6.72
hybrid,01-factorial-asm-indirect,6.93
hybrid,10-random-graph-walk-l1,3.38
hybrid,11-random-graph-walk-fixed,4.06
hybrid,20-so-call,1.59
hybrid,21-global,9.25
hybrid,22-global-other-so,9.25
hybrid,30-ptr-add-asm,3.38
hybrid,31-ptr-add-align,3.36
hybrid,99-busy-loop,1.68
purecap,00-factorial-asm-minimal,6.92
purecap,01-factorial-asm-indirect,7.56
purecap,10-random-graph-walk-l1,3.38
purecap,11-random-graph-walk-fixed,4.00
purecap,20-so-call,3.02
purecap,21-global,9.25
purecap,22-global-other-so,9.25
purecap,30-ptr-add-asm,3.36
purecap,31-ptr-add-align,6.72
purecap,99-busy-loop,1.68
hybrid,00-factorial-asm-minimal,6.71
hybrid,01-factorial-asm-indirect,6.93
hybrid,10-random-graph-walk-l1,3.38
hybrid,11-random-graph-walk-fixed,4.02
hybrid,20-so-call,1.59
hybrid,21-global,9.25
hybrid,22-global-other-so,9.25
hybrid,30-ptr-add-asm,3.36
hybrid,31-ptr-add-align,3.36
hybrid,99-busy-loop,1.67
purecap,00-factorial-asm-minimal,7.35
purecap,01-factorial-asm-indirect,7.56
purecap,10-random-graph-walk-l1,3.38
purecap,11-random-graph-walk-fixed,4.00
purecap,20-so-call,3.02
purecap,21-global,9.24
purecap,22-global-other-so,9.25
purecap,30-ptr-add-asm,3.36
purecap,31-ptr-add-align,6.72
purecap,99-busy-loop,1.68
hybrid,00-factorial-asm-minimal,6.72
hybrid,01-factorial-asm-indirect,6.93
hybrid,10-random-graph-walk-l1,3.38
hybrid,11-random-graph-walk-fixed,3.97
hybrid,20-so-call,1.59
hybrid,21-global,9.25
hybrid,22-global-other-so,9.25
hybrid,30-ptr-add-asm,3.45
hybrid,31-ptr-add-align,3.34
hybrid,99-busy-loop,1.68
purecap,00-factorial-asm-minimal,7.20
purecap,01-factorial-asm-indirect,7.55
purecap,10-random-graph-walk-l1,3.38
purecap,11-random-graph-walk-fixed,4.05
purecap,20-so-call,3.02
purecap,21-global,9.25
purecap,22-global-other-so,9.25
purecap,30-ptr-add-asm,3.36
purecap,31-ptr-add-align,6.72
purecap,99-busy-loop,1.68
hybrid,00-factorial-asm-minimal,6.71
hybrid,01-factorial-asm-indirect,6.93
hybrid,10-random-graph-walk-l1,3.38
hybrid,11-random-graph-walk-fixed,4.03
hybrid,20-so-call,1.59
hybrid,21-global,9.25
hybrid,22-global-other-so,9.25
hybrid,30-ptr-add-asm,3.46
hybrid,31-ptr-add-align,3.35
hybrid,99-busy-loop,1.68
purecap,00-factorial-asm-minimal,6.91
purecap,01-factorial-asm-indirect,7.56
purecap,10-random-graph-walk-l1,3.38
purecap,11-random-graph-walk-fixed,4.01
purecap,20-so-call,3.02
purecap,21-global,9.25
purecap,22-global-other-so,9.25
purecap,30-ptr-add-asm,3.36
purecap,31-ptr-add-align,6.72
purecap,99-busy-loop,1.68
hybrid,00-factorial-asm-minimal,6.72
hybrid,01-factorial-asm-indirect,6.93
hybrid,10-random-graph-walk-l1,3.38
hybrid,11-random-graph-walk-fixed,4.05
hybrid,20-so-call,1.59
hybrid,21-global,9.25
hybrid,22-global-other-so,9.25
hybrid,30-ptr-add-asm,3.44
hybrid,31-ptr-add-align,3.36
hybrid,99-busy-loop,1.68
purecap,00-factorial-asm-minimal,7.22
purecap,01-factorial-asm-indirect,7.56
purecap,10-random-graph-walk-l1,3.38
purecap,11-random-graph-walk-fixed,3.98
purecap,20-so-call,3.02
purecap,21-global,9.25
purecap,22-global-other-so,9.25
purecap,30-ptr-add-asm,3.36
purecap,31-ptr-add-align,6.72
purecap,99-busy-loop,1.68
hybrid,00-factorial-asm-minimal,6.72
hybrid,01-factorial-asm-indirect,6.93
hybrid,10-random-graph-walk-l1,3.38
hybrid,11-random-graph-walk-fixed,4.00
hybrid,20-so-call,1.59
hybrid,21-global,9.25
hybrid,22-global-other-so,9.25
hybrid,30-ptr-add-asm,3.35
hybrid,31-ptr-add-align,3.36
hybrid,99-busy-loop,1.68
purecap,00-factorial-asm-minimal,7.35
purecap,01-factorial-asm-indirect,7.56
purecap,10-random-graph-walk-l1,3.38
purecap,11-random-graph-walk-fixed,4.00
purecap,20-so-call,3.02
purecap,21-global,9.25
purecap,22-global-other-so,9.25
purecap,30-ptr-add-asm,3.36
purecap,31-ptr-add-align,6.72
purecap,99-busy-loop,1.68
hybrid,00-factorial-asm-minimal,6.72
hybrid,01-factorial-asm-indirect,6.93
hybrid,10-random-graph-walk-l1,3.38
hybrid,11-random-graph-walk-fixed,4.00
hybrid,20-so-call,1.59
hybrid,21-global,9.25
hybrid,22-global-other-so,9.25
hybrid,30-ptr-add-asm,3.44
hybrid,31-ptr-add-align,3.36
hybrid,99-busy-loop,1.67
purecap,00-factorial-asm-minimal,7.01
purecap,01-factorial-asm-indirect,7.56
purecap,10-random-graph-walk-l1,3.38
purecap,11-random-graph-walk-fixed,3.97
purecap,20-so-call,3.02
purecap,21-global,9.25
purecap,22-global-other-so,9.25
purecap,30-ptr-add-asm,3.35
purecap,31-ptr-add-align,6.72
purecap,99-busy-loop,1.68
hybrid,00-factorial-asm-minimal,6.72
hybrid,01-factorial-asm-indirect,6.93
hybrid,10-random-graph-walk-l1,3.38
hybrid,11-random-graph-walk-fixed,4.00
hybrid,20-so-call,1.59
hybrid,21-global,9.25
hybrid,22-global-other-so,9.24
hybrid,30-ptr-add-asm,3.39
hybrid,31-ptr-add-align,3.36
hybrid,99-busy-loop,1.68
purecap,00-factorial-asm-minimal,7.35
purecap,01-factorial-asm-indirect,7.56
purecap,10-random-graph-walk-l1,3.38
purecap,11-random-graph-walk-fixed,3.99
purecap,20-so-call,3.02
purecap,21-global,9.25
purecap,22-global-other-so,9.25
purecap,30-ptr-add-asm,3.38
purecap,31-ptr-add-align,6.72
purecap,99-busy-loop,1.68
hybrid,00-factorial-asm-minimal,6.72
hybrid,01-factorial-asm-indirect,6.93
hybrid,10-random-graph-walk-l1,3.38
hybrid,11-random-graph-walk-fixed,4.03
hybrid,20-so-call,1.59
hybrid,21-global,9.25
hybrid,22-global-other-so,9.25
hybrid,30-ptr-add-asm,3.37
hybrid,31-ptr-add-align,3.36
hybrid,99-busy-loop,1.68
purecap,00-factorial-asm-minimal,7.20
purecap,01-factorial-asm-indirect,7.56
purecap,10-random-graph-walk-l1,3.38
purecap,11-random-graph-walk-fixed,3.95
purecap,20-so-call,3.01
purecap,21-global,9.25
purecap,22-global-other-so,9.25
purecap,30-ptr-add-asm,3.36
purecap,31-ptr-add-align,6.72
purecap,99-busy-loop,1.68
hybrid,00-factorial-asm-minimal,6.72
hybrid,01-factorial-asm-indirect,6.93
hybrid,10-random-graph-walk-l1,3.38
hybrid,11-random-graph-walk-fixed,3.97
hybrid,20-so-call,1.59
hybrid,21-global,9.25
hybrid,22-global-other-so,9.25
hybrid,30-ptr-add-asm,3.44
hybrid,31-ptr-add-align,3.36
hybrid,99-busy-loop,1.68
purecap,00-factorial-asm-minimal,7.22
purecap,01-factorial-asm-indirect,7.56
purecap,10-random-graph-walk-l1,3.38
purecap,11-random-graph-walk-fixed,3.96
purecap,20-so-call,3.02
purecap,21-global,9.25
purecap,22-global-other-so,9.25
purecap,30-ptr-add-asm,3.38
purecap,31-ptr-add-align,6.72
purecap,99-busy-loop,1.68
hybrid,00-factorial-asm-minimal,6.72
hybrid,01-factorial-asm-indirect,6.93
hybrid,10-random-graph-walk-l1,3.38
hybrid,11-random-graph-walk-fixed,4.04
hybrid,20-so-call,1.59
hybrid,21-global,9.25
hybrid,22-global-other-so,9.25
hybrid,30-ptr-add-asm,3.39
hybrid,31-ptr-add-align,3.36
hybrid,99-busy-loop,1.67
purecap,00-factorial-asm-minimal,7.25
purecap,01-factorial-asm-indirect,7.56
purecap,10-random-graph-walk-l1,3.38
purecap,11-random-graph-walk-fixed,4.03
purecap,20-so-call,3.02
purecap,21-global,9.25
purecap,22-global-other-so,9.25
purecap,30-ptr-add-asm,3.36
purecap,31-ptr-add-align,6.72
purecap,99-busy-loop,1.68
hybrid,00-factorial-asm-minimal,6.72
hybrid,01-factorial-asm-indirect,6.93
hybrid,10-random-graph-walk-l1,3.38
hybrid,11-random-graph-walk-fixed,4.06
hybrid,20-so-call,1.59
hybrid,21-global,9.25
hybrid,22-global-other-so,9.25
hybrid,30-ptr-add-asm,3.36
hybrid,31-ptr-add-align,3.36
hybrid,99-busy-loop,1.68
purecap,00-factorial-asm-minimal,6.89
purecap,01-factorial-asm-indirect,7.56
purecap,10-random-graph-walk-l1,3.38
purecap,11-random-graph-walk-fixed,3.99
purecap,20-so-call,3.02
purecap,21-global,9.24
purecap,22-global-other-so,9.25
purecap,30-ptr-add-asm,3.39
purecap,31-ptr-add-align,6.72
purecap,99-busy-loop,1.68
hybrid,00-factorial-asm-minimal,6.72
hybrid,01-factorial-asm-indirect,6.92
hybrid,10-random-graph-walk-l1,3.42
hybrid,11-random-graph-walk-fixed,4.05
hybrid,20-so-call,1.59
hybrid,21-global,9.25
hybrid,22-global-other-so,9.25
hybrid,30-ptr-add-asm,3.43
hybrid,31-ptr-add-align,3.36
hybrid,99-busy-loop,1.68
purecap,00-factorial-asm-minimal,6.79
purecap,01-factorial-asm-indirect,7.56
purecap,10-random-graph-walk-l1,3.38
purecap,11-random-graph-walk-fixed,3.99
purecap,20-so-call,3.02
purecap,21-global,9.25
purecap,22-global-other-so,9.25
purecap,30-ptr-add-asm,3.36
purecap,31-ptr-add-align,6.72
purecap,99-busy-loop,1.68
hybrid,00-factorial-asm-minimal,6.72
hybrid,01-factorial-asm-indirect,6.93
hybrid,10-random-graph-walk-l1,3.38
hybrid,11-random-graph-walk-fixed,4.05
hybrid,20-so-call,1.59
hybrid,21-global,9.25
hybrid,22-global-other-so,9.25
hybrid,30-ptr-add-asm,3.42
hybrid,31-ptr-add-align,3.36
hybrid,99-busy-loop,1.67
purecap,00-factorial-asm-minimal,6.72
purecap,01-factorial-asm-indirect,7.56
purecap,10-random-graph-walk-l1,3.38
purecap,11-random-graph-walk-fixed,3.98
purecap,20-so-call,3.02
purecap,21-global,9.25
purecap,22-global-other-so,9.25
purecap,30-ptr-add-asm,3.47
purecap,31-ptr-add-align,6.72
purecap,99-busy-loop,1.68
hybrid,00-factorial-asm-minimal,6.72
hybrid,01-factorial-asm-indirect,6.93
hybrid,10-random-graph-walk-l1,3.38
hybrid,11-random-graph-walk-fixed,4.03
hybrid,20-so-call,1.59
hybrid,21-global,9.25
hybrid,22-global-other-so,9.25
hybrid,30-ptr-add-asm,3.47
hybrid,31-ptr-add-align,3.36
hybrid,99-busy-loop,1.68
purecap,00-factorial-asm-minimal,6.92
purecap,01-factorial-asm-indirect,7.56
purecap,10-random-graph-walk-l1,3.38
purecap,11-random-graph-walk-fixed,4.02
purecap,20-so-call,3.02
purecap,21-global,9.25
purecap,22-global-other-so,9.25
purecap,30-ptr-add-asm,3.41
purecap,31-ptr-add-align,6.72
purecap,99-busy-loop,1.68
hybrid,00-factorial-asm-minimal,6.72
hybrid,01-factorial-asm-indirect,6.93
hybrid,10-random-graph-walk-l1,3.38
hybrid,11-random-graph-walk-fixed,4.03
hybrid,20-so-call,1.59
hybrid,21-global,9.24
hybrid,22-global-other-so,9.25
hybrid,30-ptr-add-asm,3.42
hybrid,31-ptr-add-align,3.36
hybrid,99-busy-loop,1.68
purecap,00-factorial-asm-minimal,6.75
purecap,01-factorial-asm-indirect,7.56
purecap,10-random-graph-walk-l1,3.38
purecap,11-random-graph-walk-fixed,4.00
purecap,20-so-call,3.02
purecap,21-global,9.24
purecap,22-global-other-so,9.25
purecap,30-ptr-add-asm,3.36
purecap,31-ptr-add-align,6.72
purecap,99-busy-loop,1.68
hybrid,00-factorial-asm-minimal,6.71
hybrid,01-factorial-asm-indirect,6.93
hybrid,10-random-graph-walk-l1,3.38
hybrid,11-random-graph-walk-fixed,4.03
hybrid,20-so-call,1.59
hybrid,21-global,9.25
hybrid,22-global-other-so,9.25
hybrid,30-ptr-add-asm,3.47
hybrid,31-ptr-add-align,3.36
hybrid,99-busy-loop,1.68
purecap,00-factorial-asm-minimal,7.08
purecap,01-factorial-asm-indirect,7.56
purecap,10-random-graph-walk-l1,3.38
purecap,11-random-graph-walk-fixed,3.96
purecap,20-so-call,3.02
purecap,21-global,9.25
purecap,22-global-other-so,9.25
purecap,30-ptr-add-asm,3.46
purecap,31-ptr-add-align,6.72
purecap,99-busy-loop,1.68
hybrid,00-factorial-asm-minimal,6.72
hybrid,01-factorial-asm-indirect,6.93
hybrid,10-random-graph-walk-l1,3.38
hybrid,11-random-graph-walk-fixed,4.06
hybrid,20-so-call,1.59
hybrid,21-global,9.25
hybrid,22-global-other-so,9.25
hybrid,30-ptr-add-asm,3.40
hybrid,31-ptr-add-align,3.36
hybrid,99-busy-loop,1.68
purecap,00-factorial-asm-minimal,6.85
purecap,01-factorial-asm-indirect,7.56
purecap,10-random-graph-walk-l1,3.38
purecap,11-random-graph-walk-fixed,4.00
purecap,20-so-call,3.02
purecap,21-global,9.24
purecap,22-global-other-so,9.25
purecap,30-ptr-add-asm,3.39
purecap,31-ptr-add-align,6.71
